,drugName,condition,avg_score
0,A + D Cracked Skin Relief,bacterial skin infection,0.7548387096774194
1,A / B Otic,otitis media,0.7661290322580645
2,Abacavir / dolutegravir / lamivudine,hiv infection,0.5565550041356493
3,Abacavir / lamivudine / zidovudine,hiv infection,0.7230286738351255
4,Abatacept,juvenile idiopathic arthritis,0.17392473118279567
5,Abatacept,rheumatoid arthritis,0.5405439595192916
6,Abilify,3</span> users found this comment helpful.,0.1690860215053763
7,Abilify,agitated state,0.4325226147806794
8,Abilify,autism,0.502671370967742
9,Abilify,bipolar disorde,0.4017574671445639
10,Abilify,borderline personality disorde,0.609834229390681
11,Abilify,depression,0.49240622949164525
12,Abilify,major depressive disorde,0.4586668657905217
13,Abilify,obsessive compulsive disorde,0.41420748705694943
14,Abilify,post traumatic stress disorde,0.7017025089605735
15,Abilify,schizoaffective disorde,0.5289272030651341
16,Abilify,schizophrenia,0.3925801473516527
17,Abilify,tourette's syndrome,0.7681899641577061
18,Abilify Discmelt,bipolar disorde,0.7008960573476702
19,Abilify Discmelt,post traumatic stress disorde,0.7033154121863799
20,Abilify Maintena,schizophrenia,0.5679435483870967
21,Abiraterone,prostate cance,0.7020111509358821
22,AbobotulinumtoxinA,cervical dystonia,0.6992831541218638
23,AbobotulinumtoxinA,acial wrinkles,0.1199820788530466
24,Abraxane,breast cance,0.7498805256869773
25,Abraxane,pancreatic cance,0.0016129032258064516
26,Abreva,herpes simplex,0.3876071866067783
27,Absorbine Jr.,rheumatoid arthritis,0.7508064516129032
28,Absorica,acne,0.380241935483871
29,Acamprosate,alcohol dependence,0.7105036006708099
30,Acanya,acne,0.5428215850258861
31,Acarbose,"diabetes, type 2",0.0032258064516129032
32,Accolate,"asthma, maintenance",0.7653225806451613
33,Accupril,heart failure,0.13611111111111113
34,Accutane,13</span> users found this comment helpful.,0.760483870967742
35,Accutane,3</span> users found this comment helpful.,0.7246415770609319
36,Accutane,acne,0.6185383378554918
37,Accutane,granuloma annulare,0.7661290322580645
38,Accutane,rosacea,0.7424432497013141
39,Acebutolol,high blood pressure,0.7465949820788531
40,Acetaminophen,muscle pain,0.7594982078853046
41,Acetaminophen,pain,0.5305726233145588
42,Acetaminophen,sciatica,0.38306451612903225
43,Acetaminophen,eve,0.7482437275985663
44,Acetaminophen / aspirin,back pain,0.7017025089605735
45,Acetaminophen / aspirin / caffeine,migraine,0.5448051358831268
46,Acetaminophen / aspirin / caffeine,osteoarthritis,0.1396953405017921
47,Acetaminophen / aspirin / caffeine,pain/feve,0.6416538658474141
48,Acetaminophen / aspirin / caffeine / salicylamide,migraine,0.7544354838709677
49,Acetaminophen / aspirin / caffeine / salicylamide,pain,0.11433691756272402
50,Acetaminophen / butalbital,headache,0.677831541218638
51,Acetaminophen / butalbital / caffeine,headache,0.6793709254085175
52,Acetaminophen / butalbital / caffeine,not listed / othe,0.75
53,Acetaminophen / butalbital / caffeine / codeine,headache,0.7098566308243728
54,Acetaminophen / caffeine,headache,0.7360513739545999
55,Acetaminophen / caffeine / dihydrocodeine,pain,0.6377752176139273
56,Acetaminophen / caffeine / isometheptene mucate,headache,0.7226318484383001
57,Acetaminophen / caffeine / magnesium salicylate,muscle pain,0.7540322580645161
58,Acetaminophen / caffeine / pyrilamine,premenstrual syndrome,0.11111111111111112
59,Acetaminophen / chlorpheniramine,cold symptoms,0.5617159498207885
60,Acetaminophen / chlorpheniramine,influenza,0.7137992831541218
61,Acetaminophen / chlorpheniramine / phenylephrine,cold symptoms,0.27107228195937877
62,Acetaminophen / chlorpheniramine / phenylephrine,sinus symptoms,0.7572580645161291
63,Acetaminophen / codeine,cough,0.6642809139784946
64,Acetaminophen / codeine,osteoarthritis,0.7371863799283154
65,Acetaminophen / codeine,pain,0.3005652787310303
66,Acetaminophen / dexbrompheniramine / pseudoephedrine,allergic rhinitis,0.7508064516129032
67,Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,cold symptoms,0.5024193548387096
68,Acetaminophen / dextromethorphan / phenylephrine,sinus symptoms,0.7230286738351255
69,Acetaminophen / dichloralphenazone / isometheptene mucate,headache,0.6364578463456444
70,Acetaminophen / diphenhydramine,headache,0.3729988052568698
71,Acetaminophen / diphenhydramine,insomnia,0.47618555279845604
72,Acetaminophen / diphenhydramine,pain,0.740255376344086
73,Acetaminophen / diphenhydramine / phenylephrine,cold symptoms,0.3964381720430108
74,Acetaminophen / hydrocodone,back pain,0.6062275985663081
75,Acetaminophen / hydrocodone,cough,0.7700537634408602
76,Acetaminophen / hydrocodone,not listed / othe,0.728584229390681
77,Acetaminophen / hydrocodone,pain,0.5806119639849722
78,Acetaminophen / hydrocodone,rheumatoid arthritis,0.5911140979689367
79,Acetaminophen / oxycodone,chronic pain,0.6017823556549203
80,Acetaminophen / oxycodone,not listed / othe,0.741816009557945
81,Acetaminophen / oxycodone,pain,0.6453948410127968
82,Acetaminophen / pamabrom,back pain,0.7502128136200716
83,Acetaminophen / pamabrom / pyrilamine,premenstrual syndrome,0.7222222222222222
84,Acetaminophen / pentazocine,pain,0.7208333333333333
85,Acetaminophen / phenylephrine,headache,0.7580645161290323
86,Acetaminophen / phenylephrine,not listed / othe,0.75
87,Acetaminophen / phenyltoloxamine,headache,0.7498805256869773
88,Acetaminophen / phenyltoloxamine,influenza,0.7540322580645161
89,Acetaminophen / phenyltoloxamine,pain,0.7308627752176139
90,Acetaminophen / propoxyphene,osteoarthritis,0.08575268817204301
91,Acetaminophen / propoxyphene,pain,0.4990643093465674
92,Acetaminophen / pseudoephedrine,sinus symptoms,0.7551075268817206
93,Acetaminophen / tramadol,not listed / othe,0.7065412186379928
94,Acetaminophen / tramadol,pain,0.5541115246760407
95,Acetaminophen / tramadol,rheumatoid arthritis,0.7320489844683392
96,Acetazolamide,edema,0.1517921146953405
97,Acetazolamide,epilepsy,0.7212365591397849
98,Acetazolamide,glaucoma,0.31464646464646456
99,Acetazolamide,hydrocephalus,0.7246415770609319
100,Acetazolamide,mountain sickness / altitude sickness,0.6712066905615292
101,Acetazolamide,pseudotumor cerebri,0.4439699413489736
102,Acetazolamide,seizure prevention,0.40358422939068106
103,Acetic acid,wound cleansing,0.14130824372759856
104,Acetic acid / antipyrine / benzocaine / polycosanol,ear wax impaction,0.75
105,Acetohydroxamic acid,urinary tract infection,0.7254480286738352
106,Acetylcysteine,acetaminophen overdose,0.7335125448028674
107,Acetylcysteine,diagnostic bronchograms,0.7262544802867383
108,Acetylcysteine,expectoration,0.7672939068100358
109,Acidophilus,irritable bowel syndrome,0.8169354838709677
110,Acidophilus,urinary tract infection,0.9024193548387096
111,Acidophilus,vaginal yeast infection,0.6982347670250897
112,Aciphex,barrett's esophagus,0.7113799283154122
113,Aciphex,duodenal ulce,0.73915770609319
114,Aciphex,erosive esophagitis,0.5772177419354838
115,Aciphex,gerd,0.7060402411208861
116,Aciphex,helicobacter pylori infection,0.7463933691756273
117,Aciphex,stomach ulce,0.7548387096774194
118,Acitretin,psoriasis,0.5700146627565983
119,Aclidinium,copd,0.7635304659498208
120,Aclidinium,"copd, maintenance",0.7559811827956988
121,Acrivastine / pseudoephedrine,nasal congestion,0.7588709677419354
122,Actemra,juvenile idiopathic arthritis,0.5197431302270012
123,Actemra,rheumatoid arthritis,0.5817204301075268
124,Acthar,allergies,0.7246415770609319
125,Acthar,multiple sclerosis,0.310931899641577
126,Acthar,rheumatoid arthritis,0.7540322580645161
127,Acthar,sarcoidosis,0.75
128,Acticlate,acne,0.5437574671445639
129,Actifed,allergic rhinitis,0.42271505376344076
130,Actifed,cold symptoms,0.6200418160095579
131,Actiq,breakthrough pain,0.6740783410138249
132,Actiq,chronic pain,0.7025089605734767
133,Actiq,pain,0.7670848267622462
134,Activella,postmenopausal symptoms,0.7431899641577061
135,ActoPlus Met,"diabetes, type 2",0.415076164874552
136,Actonel,osteoporosis,0.16205197132616486
137,Actonel,paget's disease,0.7774193548387096
138,Actonel with Calcium,osteoporosis,0.06200716845878136
139,Actos,"diabetes, type 2",0.27400211795373086
140,Acyclovir,cold sores,0.572268817204301
141,Acyclovir,herpes simplex,0.5839410939691445
142,Acyclovir,"herpes simplex, mucocutaneous/immunocompetent host",0.11111111111111112
143,Acyclovir,"herpes simplex, mucocutaneous/immunocompromised host",0.7033154121863799
144,Acyclovir,"herpes simplex, suppression",0.7593672456575682
145,Acyclovir,herpes zoste,0.6401881720430107
146,Acyclovir,mononucleosis,0.7608870967741935
147,Acyclovir,not listed / othe,0.4623655913978495
148,Acyclovir / hydrocortisone,cold sores,0.7508064516129032
149,Aczone,2</span> users found this comment helpful.,0.7238351254480286
150,Aczone,acne,0.5364084076574698
151,Adalimumab,ankylosing spondylitis,0.548697516641065
152,Adalimumab,behcet's disease,0.7246415770609319
153,Adalimumab,crohn's disease,0.4348977001194743
154,Adalimumab,"crohn's disease, acute",0.4791039426523298
155,Adalimumab,"crohn's disease, maintenance",0.6105148883374689
156,Adalimumab,hidradenitis suppurativa,0.01935483870967742
157,Adalimumab,juvenile idiopathic arthritis,0.7457885304659498
158,Adalimumab,not listed / othe,0.75
159,Adalimumab,plaque psoriasis,0.561396220267188
160,Adalimumab,psoriasis,0.575441953708766
161,Adalimumab,psoriatic arthritis,0.49154651352231993
162,Adalimumab,reiter's syndrome,0.7169952210274791
163,Adalimumab,rheumatoid arthritis,0.5034486417657046
164,Adalimumab,spondyloarthritis,0.027777777777777776
165,Adalimumab,ulcerative colitis,0.45038082437275984
166,Adapalene,acne,0.5286921635711959
167,Adapalene / benzoyl peroxide,acne,0.5324991197421521
168,Adcirca,pulmonary hypertension,0.14507168458781364
169,Adderall,10</span> users found this comment helpful.,0.14695340501792115
170,Adderall,12</span> users found this comment helpful.,0.1485663082437276
171,Adderall,142</span> users found this comment helpful.,0.864516129032258
172,Adderall,14</span> users found this comment helpful.,0.7612903225806451
173,Adderall,15</span> users found this comment helpful.,0.7343189964157706
174,Adderall,16</span> users found this comment helpful.,0.7629032258064516
175,Adderall,21</span> users found this comment helpful.,0.7113799283154122
176,Adderall,29</span> users found this comment helpful.,0.7456093189964157
177,Adderall,4</span> users found this comment helpful.,0.08655913978494623
178,Adderall,6</span> users found this comment helpful.,0.6992831541218638
179,Adderall,7</span> users found this comment helpful.,0.14453405017921148
180,Adderall,adhd,0.6367405913978494
181,Adderall,narcolepsy,0.6879990112470646
182,Adderall,atigue,0.7557347670250896
183,Adderall XR,10</span> users found this comment helpful.,0.7025089605734767
184,Adderall XR,13</span> users found this comment helpful.,0.760483870967742
185,Adderall XR,5</span> users found this comment helpful.,0.7262544802867383
186,Adderall XR,adhd,0.5964467557699394
187,Adderall XR,narcolepsy,0.7621191756272401
188,Addyi,hypoactive sexual desire disorde,0.26466547192353646
189,Adempas,pulmonary hypertension,0.0
190,Adenosine,not listed / othe,0.7596774193548388
